normalized-losses,make,fuel-type,num-of-doors,length,width,height,horsepower,city-kpl,price-OMR
122,alfa-romero,gas,two,168.8,64.1,48.8,111,9.03,5263.05
122,alfa-romero,gas,two,168.8,64.1,48.8,111,9.03,6435
122,alfa-romero,gas,two,171.2,65.5,52.4,154,8.17,6435
164,audi,gas,four,176.6,66.2,54.3,102,10.32,5440.5
164,audi,gas,four,176.6,66.4,54.3,115,7.74,6805.5
122,audi,gas,two,177.3,66.3,53.1,110,8.17,5947.5
158,audi,gas,four,192.7,71.4,55.7,110,8.17,6906.9
122,audi,gas,four,192.7,71.4,55.7,110,8.17,7378.8
158,audi,gas,four,192.7,71.4,55.9,140,7.31,9311.25
192,bmw,gas,two,176.8,64.8,54.3,101,9.89,6407.7
192,bmw,gas,four,176.8,64.8,54.3,101,9.89,6600.75
188,bmw,gas,two,176.8,64.8,54.3,121,9.03,8178.3
188,bmw,gas,four,176.8,64.8,54.3,121,9.03,8230.95
122,bmw,gas,four,189,66.9,55.7,121,8.6,9580.35
122,bmw,gas,four,189,66.9,55.7,182,6.88,11996.4
122,bmw,gas,two,193.8,67.9,53.7,182,6.88,16112.85
122,bmw,gas,four,197,70.9,56.3,182,6.45,14383.2
121,chevrolet,gas,two,141.1,60.3,53.2,48,20.21,2008.89
98,chevrolet,gas,two,155.9,63.6,52,70,16.34,2455.05
81,chevrolet,gas,four,158.8,63.6,52,70,16.34,2564.25
118,dodge,gas,two,157.3,63.8,50.8,68,15.91,2173.08
118,dodge,gas,two,157.3,63.8,50.8,68,13.33,2487.03
118,dodge,gas,two,157.3,63.8,50.8,102,10.32,3103.23
148,dodge,gas,four,157.3,63.8,50.6,68,13.33,2429.31
148,dodge,gas,four,157.3,63.8,50.6,68,13.33,2609.88
148,dodge,gas,four,157.3,63.8,50.6,68,13.33,2967.51
148,dodge,gas,four,157.3,63.8,50.6,102,10.32,3337.62
110,dodge,gas,four,174.6,64.6,59.8,88,10.32,3479.19
145,dodge,gas,two,173.2,66.3,50.2,145,8.17,5055.96
137,honda,gas,two,144.6,63.9,50.8,58,21.07,2526.81
137,honda,gas,two,144.6,63.9,50.8,76,13.33,2673.45
101,honda,gas,two,150,64,52.6,60,16.34,2105.61
101,honda,gas,two,150,64,52.6,76,12.9,2546.31
101,honda,gas,two,150,64,52.6,76,12.9,2780.31
110,honda,gas,four,163.4,64,54.5,76,12.9,2845.05
78,honda,gas,four,157.1,63.9,58.3,76,12.9,2845.05
106,honda,gas,two,167.5,65.2,53.3,86,11.61,3079.05
106,honda,gas,two,167.5,65.2,53.3,86,11.61,3547.05
85,honda,gas,four,175.4,65.2,54.1,86,11.61,3449.55
85,honda,gas,four,175.4,62.5,54.1,86,11.61,4015.05
85,honda,gas,four,175.4,65.2,54.1,101,10.32,5048.55
107,honda,gas,two,169.1,66,51,100,10.75,4034.55
122,isuzu,gas,four,170.7,61.8,53.5,78,10.32,2646.15
122,isuzu,gas,two,172.6,65.2,51.4,90,10.32,4308.72
145,jaguar,gas,four,199.6,69.6,52.8,176,6.45,12577.5
122,jaguar,gas,four,199.6,69.6,52.8,176,6.45,13864.5
122,jaguar,gas,two,191.7,70.6,47.8,262,5.59,14040
104,mazda,gas,two,159.1,64.2,54.1,68,12.9,2026.05
104,mazda,gas,two,159.1,64.2,54.1,68,13.33,2377.05
104,mazda,gas,two,159.1,64.2,54.1,68,13.33,2650.05
113,mazda,gas,four,166.8,64.2,54.1,68,13.33,2611.05
113,mazda,gas,four,166.8,64.2,54.1,68,13.33,2884.05
150,mazda,gas,two,169,65.7,49.6,101,7.31,4268.55
150,mazda,gas,two,169,65.7,49.6,101,7.31,4619.55
150,mazda,gas,two,169,65.7,49.6,101,7.31,5321.55
150,mazda,gas,two,169,65.7,49.6,135,6.88,6101.55
129,mazda,gas,two,177.8,66.5,53.7,84,11.18,3449.55
115,mazda,gas,four,177.8,66.5,55.5,84,11.18,3313.05
129,mazda,gas,two,177.8,66.5,53.7,84,11.18,4132.05
115,mazda,gas,four,177.8,66.5,55.5,84,11.18,3995.55
122,mazda,diesel,four,177.8,66.5,55.5,64,15.48,4210.05
115,mazda,gas,four,177.8,66.5,55.5,84,11.18,4385.55
118,mazda,gas,four,175,66.1,54.4,120,8.17,7129.2
122,mazda,diesel,four,175,66.1,54.4,72,13.33,7154.16
93,mercedes-benz,diesel,four,190.9,70.3,56.5,123,9.46,9965.28
93,mercedes-benz,diesel,four,190.9,70.3,58.7,123,9.46,11016.72
93,mercedes-benz,diesel,two,187.5,70.3,54.9,123,9.46,10988.64
93,mercedes-benz,diesel,four,202.6,71.7,56.3,123,9.46,12324
122,mercedes-benz,gas,four,202.6,71.7,56.5,155,6.88,133301.76
142,mercedes-benz,gas,two,180.3,70.5,50.8,155,6.88,13671.84
122,mercedes-benz,gas,four,208.1,71.7,56.7,184,6.02,15974.4
122,mercedes-benz,gas,two,199.2,72,55.4,184,6.02,17706
122,mercury,gas,two,178.4,68,54.8,175,8.17,6436.17
161,mitsubishi,gas,two,157.3,64.4,50.8,68,15.91,2101.71
161,mitsubishi,gas,two,157.3,64.4,50.8,68,13.33,2413.71
161,mitsubishi,gas,two,157.3,64.4,50.8,68,13.33,2600.91
161,mitsubishi,gas,two,157.3,63.8,50.8,102,10.32,2998.71
153,mitsubishi,gas,two,173,65.4,49.4,116,9.89,3884.01
153,mitsubishi,gas,two,173,65.4,49.4,88,10.75,3314.61
122,mitsubishi,gas,two,173.2,66.3,50.2,145,8.17,4925.31
122,mitsubishi,gas,two,173.2,66.3,50.2,145,8.17,5798.91
122,mitsubishi,gas,two,173.2,66.3,50.2,145,8.17,5650.71
125,mitsubishi,gas,four,172.4,65.4,51.6,88,10.75,2725.71
125,mitsubishi,gas,four,172.4,65.4,51.6,88,10.75,3193.71
125,mitsubishi,gas,four,172.4,65.4,51.6,116,9.89,3618.81
137,mitsubishi,gas,four,172.4,65.4,51.6,116,9.89,3618.81
128,nissan,gas,two,165.3,63.8,54.5,69,13.33,2144.61
128,nissan,diesel,two,165.3,63.8,54.5,55,19.35,2768.61
128,nissan,gas,two,165.3,63.8,54.5,69,13.33,2593.11
122,nissan,gas,four,165.3,63.8,54.5,69,13.33,2671.11
103,nissan,gas,four,170.2,63.8,53.5,69,13.33,2866.11
128,nissan,gas,two,165.3,63.8,54.5,69,13.33,2846.61
128,nissan,gas,two,165.6,63.8,53.3,69,13.33,3041.61
122,nissan,gas,four,165.3,63.8,54.5,69,13.33,2924.61
103,nissan,gas,four,170.2,63.8,53.5,69,13.33,3119.61
168,nissan,gas,two,162.4,63.8,53.3,69,13.33,3217.11
106,nissan,gas,four,173.4,65.2,54.7,97,11.61,3490.11
106,nissan,gas,four,173.4,65.2,54.7,97,11.61,3724.11
128,nissan,gas,four,181.7,66.5,55.1,152,7.31,5264.61
108,nissan,gas,four,184.6,66.5,56.1,152,7.31,5615.61
108,nissan,gas,four,184.6,66.5,55.1,152,8.17,5264.61
194,nissan,gas,two,170.7,67.9,49.7,160,8.17,6707.61
194,nissan,gas,two,170.7,67.9,49.7,200,7.31,7682.61
231,nissan,gas,two,178.5,67.9,49.7,160,8.17,7175.61
161,peugot,gas,four,186.7,68.4,56.7,97,8.17,4641
161,peugot,diesel,four,186.7,68.4,56.7,95,12.04,5148
122,peugot,gas,four,198.9,68.4,58.7,97,8.17,4851.6
122,peugot,diesel,four,198.9,68.4,58.7,95,10.75,5405.4
161,peugot,gas,four,186.7,68.4,56.7,95,8.17,6076.2
161,peugot,diesel,four,186.7,68.4,56.7,95,12.04,6591
122,peugot,gas,four,198.9,68.4,56.7,95,8.17,6511.05
122,peugot,diesel,four,198.9,68.4,58.7,95,10.75,6659.25
161,peugot,gas,four,186.7,68.4,56.7,97,8.17,6485.7
161,peugot,diesel,four,186.7,68.4,56.7,95,12.04,7000.5
161,peugot,gas,four,186.7,68.3,56,142,7.74,7078.5
119,plymouth,gas,two,157.3,63.8,50.8,68,15.91,2173.08
119,plymouth,gas,two,157.3,63.8,50.8,102,10.32,3103.23
154,plymouth,gas,four,157.3,63.8,50.6,68,13.33,2429.31
154,plymouth,gas,four,167.3,63.8,50.8,68,13.33,2609.88
154,plymouth,gas,four,167.3,63.8,50.8,68,13.33,2967.51
74,plymouth,gas,four,174.6,64.6,59.8,88,10.32,3479.19
